iter	MultiClass
0	1.089995929
1	1.082280295
2	1.075396896
3	1.069167358
4	1.063551542
5	1.058457292
6	1.053796411
7	1.049566993
8	1.045707348
9	1.042172082
10	1.038927836
11	1.035986338
12	1.033234029
13	1.030738467
14	1.028419984
15	1.026276447
16	1.024280744
17	1.022460215
18	1.020763604
19	1.019188626
20	1.017732691
21	1.016348958
22	1.015046644
23	1.013800005
24	1.012647504
25	1.011551745
26	1.010494676
27	1.009560763
28	1.008662038
29	1.007813732
30	1.006995892
31	1.006178433
32	1.005445743
33	1.004711149
34	1.003999252
35	1.003289792
36	1.002632809
37	1.002042696
38	1.001442531
39	1.000853713
40	1.000244179
41	0.9997539929
42	0.9992163571
43	0.9987296744
44	0.9982343091
45	0.9978509037
46	0.9974782373
47	0.996939916
48	0.9964527002
49	0.9961001409
50	0.9957691357
51	0.9953140608
52	0.9949043029
53	0.9944857862
54	0.9939940006
55	0.9936149365
56	0.993295889
57	0.9929287825
58	0.992496785
59	0.9921363808
60	0.9918123827
61	0.9913967602
62	0.9909630871
63	0.9905757974
64	0.9902225526
65	0.9899064754
66	0.9895255834
67	0.9891149116
68	0.9888011193
69	0.988375291
