iter	Passed	Remaining
0	1063	318028
1	1195	178166
2	1328	131560
3	1454	107608
4	1586	93583
5	1718	84223
6	1850	77440
7	1978	72201
8	2109	68193
9	2243	65070
10	2375	62402
11	2510	60246
12	2642	58342
13	2773	56661
14	2900	55116
15	3035	53871
16	3165	52688
17	3295	51633
18	3427	50695
19	3567	49948
20	3715	49366
21	3859	48767
22	4004	48225
23	4151	47739
24	4294	47235
25	4441	46808
26	4599	46510
27	4748	46124
28	4886	45663
29	5029	45265
30	5169	44854
31	5327	44615
32	5475	44304
33	5633	44076
34	5791	43848
35	5951	43647
36	6111	43437
37	6255	43126
38	6415	42937
39	6559	42635
40	6715	42419
41	6862	42152
42	7019	41951
43	7176	41755
44	7323	41500
45	7458	41184
46	7601	40918
47	7771	40800
48	7930	40622
49	8073	40365
50	8205	40063
51	8365	39897
52	8510	39659
53	8667	39486
54	8825	39312
55	8983	39140
56	9124	38897
57	9281	38724
58	9441	38565
59	9583	38334
60	9721	38090
61	9873	37902
62	10037	37760
63	10190	37577
64	10340	37386
65	10487	37183
66	10636	36988
67	10792	36820
68	10929	36591
69	11082	36413
